"","id","tipo","periodo","monto","mandatarios06","recibos"
"371",252,"Reg-Cov","A Vencer",3546430.19,NA,NA
"372",256,"Detectar","A Vencer",304295,NA,NA
"373",256,"Reg-Cov","",23656,NA,NA
"374",256,"Reg-Cov","2021",0.01,NA,NA
"375",256,"Reg-Cov","A Vencer",249568.2,NA,NA
"376",259,"Detectar","2022",182613,NA,NA
"377",259,"Detectar","A Vencer",660562,NA,NA
"378",259,"Reg-Cov","",87850,NA,NA
"379",259,"Reg-Cov","2022",66079,NA,NA
"380",259,"Reg-Cov","A Vencer",25395,NA,NA
"381",262,"Detectar","2021",68154,NA,NA
"382",262,"Detectar","2022",64065,NA,NA
"383",262,"Reg-Cov","",414693,NA,NA
"384",262,"Reg-Cov","2017",188,NA,NA
"385",262,"Reg-Cov","2018",16361.57,NA,NA
"386",262,"Reg-Cov","2019",71334.44,NA,NA
"387",262,"Reg-Cov","2021",3310057.43,NA,NA
"388",262,"Reg-Cov","2022",1867110.49,NA,NA
"389",262,"Reg-Cov","A Vencer",58603,NA,NA
"390",262,"Turismo","2021",1002620,NA,NA
"391",264,"Detectar","",149691,NA,NA
"392",264,"Detectar","2022",146105,146105,NA
"393",264,"Reg-Cov","",608118,NA,NA
"394",264,"Reg-Cov","2022",14295042.62,3330213.5,NA
"395",264,"Reg-Cov","A Vencer",3473462,NA,NA
"396",265,"Detectar","2022",489844,NA,NA
"397",265,"Reg-Cov","",83576,NA,NA
"398",265,"Reg-Cov","2021",56822,NA,NA
"399",265,"Reg-Cov","2022",2449053.42,NA,NA
"400",265,"Reg-Cov","A Vencer",1238055.21,NA,NA
"401",266,"Detectar","2022",5401,NA,NA
"402",266,"Reg-Cov","",57259,NA,NA
"403",266,"Reg-Cov","2019",389.4,NA,NA
"404",266,"Reg-Cov","2021",52787,NA,NA
"405",266,"Reg-Cov","2022",88801,NA,34476
"406",266,"Reg-Cov","A Vencer",111130,NA,130914
"407",267,"Reg-Cov","A Vencer",11158,NA,11158
"408",270,"Detectar","A Vencer",1520086,NA,NA
"409",270,"Reg-Cov","",25872,NA,NA
"410",270,"Reg-Cov","A Vencer",2026899.45,NA,2347826.45
"411",271,"Detectar","",56041749,NA,NA
"412",271,"Detectar","2021",35095883,NA,NA
"413",271,"Detectar","2022",118256364,NA,NA
"414",271,"Detectar","A Vencer",42846051,NA,NA
"415",271,"Reg-Cov","",21101415.02,NA,NA
"416",271,"Reg-Cov","2021",29434234,NA,NA
"417",271,"Reg-Cov","2022",67046114.1,NA,NA
"418",271,"Reg-Cov","A Vencer",26141625.82,NA,14809495.2
"419",271,"Turismo","2021",13516849.04,NA,NA
"420",271,"Turismo","2022",120953,NA,NA
"421",274,"Detectar","2022",261688,NA,NA
"422",274,"Detectar","A Vencer",766454,NA,NA
"423",274,"Reg-Cov","",11930349.92,NA,NA
"424",274,"Reg-Cov","2021",984158.04,NA,NA
"425",274,"Reg-Cov","2022",6955215.29,NA,NA
"426",274,"Reg-Cov","A Vencer",9379508.78,NA,NA
"427",275,"Detectar","",813177,NA,NA
"428",275,"Detectar","2021",38502,NA,NA
"429",275,"Detectar","2022",525425,NA,47708
"430",275,"Reg-Cov","",2150608.95,NA,NA
"431",275,"Reg-Cov","2021",102061,NA,NA
"432",275,"Reg-Cov","2022",7977653.8,NA,47708
"433",275,"Reg-Cov","A Vencer",1995520.31,NA,NA
"434",279,"Detectar","2021",136606,NA,NA
"435",279,"Detectar","2022",268986,NA,NA
"436",279,"Detectar","A Vencer",848475,NA,NA
"437",279,"Reg-Cov","",980755.29,NA,NA
"438",279,"Reg-Cov","2021",1300244.27,NA,NA
"439",279,"Reg-Cov","2022",6413791.87,NA,1571604.77
"440",279,"Reg-Cov","A Vencer",1053236.85,NA,98169
"441",279,"Turismo","2021",193100,NA,NA
"442",285,"Detectar","2022",1487,NA,NA
"443",285,"Reg-Cov","2022",231947.12,NA,NA
"444",287,"Reg-Cov","2018",11096.86,11096.86,NA
"445",287,"Reg-Cov","2021",21503,21503,NA
