"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"109",1890,"FACB2 - 7282","558 - IAPOS SANTA FE",2020-02-19,93480,2020-04-10,2021-02-11 00:00:00,2021-02-18,"RECX2 - 9020",2021-03-15,19672,72086
"110",1961,"FACB2 - 11948","202 - UTA",2020-11-19,1429280.6,2020-12-19,2021-03-04 00:00:00,2021-03-09,"RECX2 - 9030",2021-03-15,1058628.6,370652
"111",1802,"FACB2 - 6987","251 - OSDOP",2020-01-16,361715.23,2020-03-13,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9037",2021-03-15,18309.4,0
"112",1776,"FACB2 - 10890","576 - OSPSIP",2020-10-14,152084,2020-11-25,2021-01-07 00:00:00,2021-01-19,"NCB - 4593",2021-03-16,13208,138876
"113",1776,"FACB2 - 10609","576 - OSPSIP",2020-09-24,202023,2020-11-06,2021-01-07 00:00:00,2021-01-19,"NCB - 4595",2021-03-16,30958,171065
"114",1776,"FACB2 - 10593","576 - OSPSIP",2020-09-23,1069937.36,2020-10-31,2021-01-07 00:00:00,2021-01-19,"NCB - 4596",2021-03-16,14960,1054977.36
"115",1776,"FACB2 - 10205","576 - OSPSIP",2020-09-08,208214,2020-10-10,2021-01-07 00:00:00,2021-01-19,"NCB - 4597",2021-03-16,31830,176384
"116",1815,"FACB2 - 7698","216 - SUP BIENESTA POL FED",2020-03-25,159034,2020-05-22,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9062",2021-03-16,159034,0
"117",1877,"FACB2 - 11244","418 - OSCAPBAQFLU",2020-10-26,269945.12,2020-11-25,2021-02-03 00:00:00,2021-02-08,"RECX2 - 9074",2021-03-16,269945.12,0
"118",1916,"FACA2 - 2700","975 - COBERMED",2020-05-20,27552.66,2020-07-23,2021-02-25 00:00:00,2021-03-01,"RECX2 - 9081",2021-03-16,27552.66,0
"119",1916,"FACA2 - 2849","975 - COBERMED",2020-06-22,10310,2020-08-06,2021-02-25 00:00:00,2021-03-01,"RECX2 - 9081",2021-03-16,10310,0
"120",1921,"FACB2 - 6539","923 - AMPJBON",2019-11-25,29534,2020-01-18,2021-02-25 00:00:00,2021-03-02,"RECX2 - 9091",2021-03-16,29534,0
"121",1814,"FACB2 - 7017","611 - ASOCIACION MUTUAL SANCOR",2020-01-20,72995,2020-03-19,2021-01-21 00:00:00,2021-01-28,"NCB - 4628",2021-03-17,538,0
"122",1778,"FACB2 - 11381","274 - FEDECAMARAS",2020-10-28,227810,2020-11-27,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9095",2021-03-22,227810,0
"123",1882,"FACB2 - 10088","512 - OSPIV VIDRIO",2020-08-26,24193,2020-10-10,2021-02-03 00:00:00,2021-02-08,"RECX2 - 9108",2021-03-23,22297,0
"124",1962,"FACA2 - 3004","404 - OSDEPYM",2020-07-21,75302,2020-09-19,2021-03-04 00:00:00,2021-03-09,"RECX2 - 9128",2021-03-23,5162,70140
"125",1962,"FACA2 - 3059","404 - OSDEPYM",2020-07-24,230436,2020-09-26,2021-03-04 00:00:00,2021-03-09,"RECX2 - 9128",2021-03-23,10324,204640
"126",1988,"FACB2 - 12550","150 - OSBA",2020-12-04,16710,2021-01-17,2021-03-11 00:00:00,2021-03-16,"NCB - 4670",2021-03-25,15110,0
